relative_path,current_proposed_action_from_phase0b,current_blocks_phase5r,touch_categories,sensitivity,phase_tokens,phase5r_decision,reason,allowed_as_phase5r_dependency,quarantine_as_legacy,requires_human_approval_before_migration,can_be_archived_after_approval,can_be_copied_to_canonical_after_approval,notes
03_research/gpt_packets/NVTS_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,phase2b;phase2c,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/gpt_packets/RBRK_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,phase2b;phase2c,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/gpt_packets/RXRX_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,phase2b;phase2c,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/gpt_packets/TEM_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,phase2b;phase2c,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/gpt_packets/TSLA_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,,EXCLUDE_FROM_PHASE5R,Not part of the minimum manual-execution-safe Phase 5R dependency set.,no,no,no,no,no,
03_research/gpt_review_phase2g/IOT_gpt_review.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e;phase2e1;phase2g,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/gpt_review_phase2g/RBRK_gpt_review.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e;phase2e1;phase2g,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/human_notes_synthesis_phase2i/IOT_synthesis.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2g;phase2h;phase2i;phase2j,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/human_notes_synthesis_phase2i/RBRK_synthesis.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2g;phase2h;phase2i;phase2j,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/manual_filing_review_phase2h/.DS_Store,DELETE_LATER_LOCAL_CACHE_ONLY,no,,LOW,phase2h,DELETE_LATER_LOCAL_CACHE_ONLY,Generated local cache or OS metadata; can only be removed in a later approved cleanup phase.,no,no,no,no,no,No deletion in Phase 0C.
03_research/manual_filing_review_phase2h/IOT_manual_filing_review.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2f;phase2g;phase2h,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/manual_filing_review_phase2h/RBRK_manual_filing_review.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2f;phase2g;phase2h,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/manual_filing_review_phase2h/phase2h_review_tracker.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2h,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/paper_execution_decision_phase2q/IOT_phase2q_decision_gate.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2q;phase2r,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/paper_execution_decision_phase2q/RBRK_phase2q_decision_gate.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2q;phase2r,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/paper_execution_log_phase2p/IOT_paper_execution_log_setup.md,NEEDS_HUMAN_REVIEW,no,trade_logs;risk_rules,HIGH,phase2o;phase2p;phase2q,LEGACY_QUARANTINE,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,no,yes,yes,yes,no,Preserve; do not delete or treat paper/real/journal files as interchangeable.
03_research/paper_execution_log_phase2p/RBRK_paper_execution_log_setup.md,NEEDS_HUMAN_REVIEW,no,trade_logs;risk_rules,HIGH,phase2o;phase2p;phase2q,LEGACY_QUARANTINE,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,no,yes,yes,yes,no,Preserve; do not delete or treat paper/real/journal files as interchangeable.
03_research/paper_execution_phase2r/IOT_paper_execution_record.md,NEEDS_HUMAN_REVIEW,no,weekly_reviews;risk_rules,MEDIUM,phase2q;phase2r,ARCHIVE_EVIDENCE_AFTER_APPROVAL,Legacy real-position or weekly-position evidence; archive after approval and exclude from Phase 5R stock selection.,no,yes,yes,yes,no,Old IOT/RBRK holding context is explicitly out of scope.
03_research/paper_execution_phase2r/RBRK_paper_execution_record.md,NEEDS_HUMAN_REVIEW,no,weekly_reviews;risk_rules,MEDIUM,phase2q;phase2r,ARCHIVE_EVIDENCE_AFTER_APPROVAL,Legacy real-position or weekly-position evidence; archive after approval and exclude from Phase 5R stock selection.,no,yes,yes,yes,no,Old IOT/RBRK holding context is explicitly out of scope.
03_research/paper_execution_readiness_phase2o/IOT_paper_execution_readiness.md,NEEDS_HUMAN_REVIEW,no,trade_logs;risk_rules,HIGH,phase2h;phase2n;phase2o;phase2p,LEGACY_QUARANTINE,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,no,yes,yes,yes,no,Preserve; do not delete or treat paper/real/journal files as interchangeable.
03_research/paper_execution_readiness_phase2o/RBRK_paper_execution_readiness.md,NEEDS_HUMAN_REVIEW,no,trade_logs;risk_rules,HIGH,phase2h;phase2n;phase2o;phase2p,LEGACY_QUARANTINE,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,no,yes,yes,yes,no,Preserve; do not delete or treat paper/real/journal files as interchangeable.
03_research/paper_plan_drafts_phase2n/IOT_paper_plan_draft.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2j;phase2k;phase2m;phase2n,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/paper_plan_drafts_phase2n/RBRK_paper_plan_draft.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2j;phase2k;phase2m;phase2n,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/peer_data_phase2k/IOT_peer_data.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2k;phase2l,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/peer_data_phase2k/RBRK_peer_data.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2k;phase2l,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/real_position_audit_phase3a/IOT_real_position_audit.md,NEEDS_HUMAN_REVIEW,yes,real_positions;risk_rules,HIGH,phase3a,LEGACY_QUARANTINE,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,no,yes,yes,yes,no,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/real_position_audit_phase3a/RBRK_real_position_audit.md,NEEDS_HUMAN_REVIEW,yes,real_positions;risk_rules,HIGH,phase3a,LEGACY_QUARANTINE,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,no,yes,yes,yes,no,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/real_position_monitoring_phase3b/IOT_real_position_note.md,NEEDS_HUMAN_REVIEW,yes,real_positions;weekly_reviews;risk_rules,HIGH,phase3b;phase3c,LEGACY_QUARANTINE,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,no,yes,yes,yes,no,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/real_position_monitoring_phase3b/RBRK_real_position_note.md,NEEDS_HUMAN_REVIEW,yes,real_positions;weekly_reviews;risk_rules,HIGH,phase3b;phase3c,LEGACY_QUARANTINE,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,no,yes,yes,yes,no,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/red_team_phase2f/IOT_red_team.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2f,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/red_team_phase2f/RBRK_red_team.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2f,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/research_decision_phase2m/IOT_research_decision.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2k;phase2l;phase2m;phase2n,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/research_decision_phase2m/RBRK_research_decision.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2k;phase2l;phase2m;phase2n,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/scenario_peer_work_phase2j/IOT_peer_framework.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2j,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/scenario_peer_work_phase2j/IOT_scenario_workpaper.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2i;phase2j,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/scenario_peer_work_phase2j/RBRK_peer_framework.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2j,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/scenario_peer_work_phase2j/RBRK_scenario_workpaper.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2i;phase2j,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/sector_frameworks/ai_infrastructure_framework.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,Generic research framework/template may support Phase 5R after review.,no,no,no,no,yes,
03_research/sector_frameworks/biotech_framework.md,COPY_TO_CANONICAL,no,,LOW,phase1;phase2;phase3,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/sector_frameworks/clean_tech_framework.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,Generic research framework/template may support Phase 5R after review.,no,no,no,no,yes,
03_research/sector_frameworks/semiconductor_framework.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,Generic research framework/template may support Phase 5R after review.,no,no,no,no,yes,
03_research/triage_notes/ACMR_triage_note.md,COPY_TO_CANONICAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/triage_notes/ALAB_triage_note.md,COPY_TO_CANONICAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/triage_notes/ARRY_triage_note.md,COPY_TO_CANONICAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/triage_notes/CRSP_triage_note.md,COPY_TO_CANONICAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/triage_notes/CRWV_triage_note.md,COPY_TO_CANONICAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/triage_notes/ENVX_triage_note.md,COPY_TO_CANONICAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/triage_notes/FLNC_triage_note.md,COPY_TO_CANONICAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/triage_notes/IOT_triage_note.md,COPY_TO_CANONICAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/triage_notes/NVTS_triage_note.md,COPY_TO_CANONICAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/triage_notes/RBRK_triage_note.md,COPY_TO_CANONICAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/triage_notes/RXRX_triage_note.md,COPY_TO_CANONICAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/triage_notes/TEM_triage_note.md,COPY_TO_CANONICAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/triage_notes_phase2e1/ACMR_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2e;phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/triage_notes_phase2e1/ALAB_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2e;phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/triage_notes_phase2e1/ARRY_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2e;phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/triage_notes_phase2e1/CRSP_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2e;phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/triage_notes_phase2e1/CRWV_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2e;phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/triage_notes_phase2e1/ENVX_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e;phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/triage_notes_phase2e1/FLNC_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2e;phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/triage_notes_phase2e1/IOT_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e;phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/triage_notes_phase2e1/NVTS_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2e;phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/triage_notes_phase2e1/RBRK_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e;phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/triage_notes_phase2e1/RXRX_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2e;phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/triage_notes_phase2e1/TEM_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2e;phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/valuation_earnings_phase2l/IOT_next_earnings_checklist.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2h;phase2k;phase2l,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/valuation_earnings_phase2l/IOT_valuation_risk_workpaper.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2j;phase2k;phase2l,ARCHIVE_EVIDENCE_AFTER_APPROVAL,Legacy real-position or weekly-position evidence; archive after approval and exclude from Phase 5R stock selection.,no,yes,yes,yes,no,Old IOT/RBRK holding context is explicitly out of scope.
03_research/valuation_earnings_phase2l/RBRK_next_earnings_checklist.md,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2h;phase2k;phase2l,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/valuation_earnings_phase2l/RBRK_valuation_risk_workpaper.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2j;phase2k;phase2l,ARCHIVE_EVIDENCE_AFTER_APPROVAL,Legacy real-position or weekly-position evidence; archive after approval and exclude from Phase 5R stock selection.,no,yes,yes,yes,no,Old IOT/RBRK holding context is explicitly out of scope.
03_research/weekly_review_agent_phase4a/IOT_weekly_review_note.md,NEEDS_HUMAN_REVIEW,yes,real_positions;sec_alerts;weekly_reviews;risk_rules,HIGH,phase4a,LEGACY_QUARANTINE,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,no,yes,yes,yes,no,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/weekly_review_agent_phase4a/RBRK_weekly_review_note.md,NEEDS_HUMAN_REVIEW,yes,real_positions;sec_alerts;weekly_reviews;risk_rules,HIGH,phase4a,LEGACY_QUARANTINE,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,no,yes,yes,yes,no,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
04_data/.DS_Store,DELETE_LATER_LOCAL_CACHE_ONLY,no,,LOW,,DELETE_LATER_LOCAL_CACHE_ONLY,Generated local cache or OS metadata; can only be removed in a later approved cleanup phase.,no,no,no,no,no,No deletion in Phase 0C.
04_data/phase2b_candidate_screening_results.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2b,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2e1_8k_dilution_review.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2e1_manual_market_data_README.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2c;phase2e;phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2e1_manual_market_data_filled.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2e1_manual_market_data_template.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2e1_manual_market_data_validated.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2e1_rescored_candidates.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e1,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2e_financial_enrichment.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2e_first_triage_scores.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2f_memo_scores.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e;phase2f,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2g_review_labels.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2f;phase2g,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2i_evidence_gap_matrix.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2i;phase2j,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2i_synthesis_labels.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2g;phase2h;phase2i;phase2j,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2j_scenario_peer_labels.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2i;phase2j,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2k_peer_data.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2k,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2k_peer_data_quality.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2k;phase2l,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2l_valuation_earnings_labels.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2l;phase2m,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2m_research_decision_labels.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2l;phase2m;phase2n,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2n_paper_plan_draft_labels.csv,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2m;phase2n,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2n_paper_plan_risk_template.csv,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2n,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2o_manual_chart_review_filled.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2h;phase2o,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2o_manual_chart_review_validated.csv,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2o,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
04_data/phase2o_paper_execution_readiness.csv,NEEDS_HUMAN_REVIEW,no,trade_logs;risk_rules,HIGH,phase2o;phase2p,LEGACY_QUARANTINE,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,no,yes,yes,yes,no,Preserve; do not delete or treat paper/real/journal files as interchangeable.
04_data/phase2p_human_signoff_template.csv,ARCHIVE_AFTER_APPROVAL,no,risk_rules,MEDIUM,phase2p;phase2q,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
