relative_path,current_classification,sensitivity,touch_categories,phase_tokens,proposed_new_path,proposed_action,action_reason,human_approval_required,safe_to_copy_now,safe_to_move_later,safe_to_delete_later,blocks_phase5r,notes
03_research/paper_execution_decision_phase2q/IOT_phase2q_decision_gate.md,ARCHIVE,MEDIUM,risk_rules,phase2q;phase2r,05_risk_and_positions/paper_position_reviews/paper_execution_decision_phase2q/IOT_phase2q_decision_gate.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/paper_execution_decision_phase2q/RBRK_phase2q_decision_gate.md,ARCHIVE,MEDIUM,risk_rules,phase2q;phase2r,05_risk_and_positions/paper_position_reviews/paper_execution_decision_phase2q/RBRK_phase2q_decision_gate.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/paper_execution_log_phase2p/IOT_paper_execution_log_setup.md,NEEDS_HUMAN_REVIEW,HIGH,trade_logs;risk_rules,phase2o;phase2p;phase2q,05_risk_and_positions/paper_position_reviews/paper_execution_log_phase2p/IOT_paper_execution_log_setup.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,no,Human gate required by Phase0B touch-category rule.
03_research/paper_execution_log_phase2p/RBRK_paper_execution_log_setup.md,NEEDS_HUMAN_REVIEW,HIGH,trade_logs;risk_rules,phase2o;phase2p;phase2q,05_risk_and_positions/paper_position_reviews/paper_execution_log_phase2p/RBRK_paper_execution_log_setup.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,no,Human gate required by Phase0B touch-category rule.
03_research/paper_execution_phase2r/IOT_paper_execution_record.md,NEEDS_HUMAN_REVIEW,MEDIUM,weekly_reviews;risk_rules,phase2q;phase2r,05_risk_and_positions/paper_position_reviews/paper_execution_phase2r/IOT_paper_execution_record.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,no,Human gate required by Phase0B touch-category rule.
03_research/paper_execution_phase2r/RBRK_paper_execution_record.md,NEEDS_HUMAN_REVIEW,MEDIUM,weekly_reviews;risk_rules,phase2q;phase2r,05_risk_and_positions/paper_position_reviews/paper_execution_phase2r/RBRK_paper_execution_record.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,no,Human gate required by Phase0B touch-category rule.
03_research/paper_execution_readiness_phase2o/IOT_paper_execution_readiness.md,NEEDS_HUMAN_REVIEW,HIGH,trade_logs;risk_rules,phase2h;phase2n;phase2o;phase2p,05_risk_and_positions/paper_position_reviews/paper_execution_readiness_phase2o/IOT_paper_execution_readiness.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,no,Human gate required by Phase0B touch-category rule.
03_research/paper_execution_readiness_phase2o/RBRK_paper_execution_readiness.md,NEEDS_HUMAN_REVIEW,HIGH,trade_logs;risk_rules,phase2h;phase2n;phase2o;phase2p,05_risk_and_positions/paper_position_reviews/paper_execution_readiness_phase2o/RBRK_paper_execution_readiness.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,no,Human gate required by Phase0B touch-category rule.
03_research/paper_plan_drafts_phase2n/IOT_paper_plan_draft.md,ARCHIVE,MEDIUM,risk_rules,phase2j;phase2k;phase2m;phase2n,05_risk_and_positions/paper_position_reviews/paper_plan_drafts_phase2n/IOT_paper_plan_draft.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/paper_plan_drafts_phase2n/RBRK_paper_plan_draft.md,ARCHIVE,MEDIUM,risk_rules,phase2j;phase2k;phase2m;phase2n,05_risk_and_positions/paper_position_reviews/paper_plan_drafts_phase2n/RBRK_paper_plan_draft.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/peer_data_phase2k/IOT_peer_data.md,ARCHIVE,LOW,,phase2k;phase2l,04_research/peer_work/peer_data_phase2k/IOT_peer_data.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/peer_data_phase2k/RBRK_peer_data.md,ARCHIVE,LOW,,phase2k;phase2l,04_research/peer_work/peer_data_phase2k/RBRK_peer_data.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/real_position_audit_phase3a/IOT_real_position_audit.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;risk_rules,phase3a,05_risk_and_positions/real_position_reviews/real_position_audit_phase3a/IOT_real_position_audit.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/real_position_audit_phase3a/RBRK_real_position_audit.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;risk_rules,phase3a,05_risk_and_positions/real_position_reviews/real_position_audit_phase3a/RBRK_real_position_audit.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/real_position_monitoring_phase3b/IOT_real_position_note.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;weekly_reviews;risk_rules,phase3b;phase3c,05_risk_and_positions/real_position_reviews/real_position_monitoring_phase3b/IOT_real_position_note.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/real_position_monitoring_phase3b/RBRK_real_position_note.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;weekly_reviews;risk_rules,phase3b;phase3c,05_risk_and_positions/real_position_reviews/real_position_monitoring_phase3b/RBRK_real_position_note.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/red_team_phase2f/IOT_red_team.md,ARCHIVE,MEDIUM,risk_rules,phase2f,04_research/red_team/IOT_red_team.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/red_team_phase2f/RBRK_red_team.md,ARCHIVE,LOW,,phase2f,04_research/red_team/RBRK_red_team.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/research_decision_phase2m/IOT_research_decision.md,ARCHIVE,LOW,,phase2k;phase2l;phase2m;phase2n,11_archive/historical_phase_outputs/phase2k/03_research/research_decision_phase2m/IOT_research_decision.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/research_decision_phase2m/RBRK_research_decision.md,ARCHIVE,LOW,,phase2k;phase2l;phase2m;phase2n,11_archive/historical_phase_outputs/phase2k/03_research/research_decision_phase2m/RBRK_research_decision.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/scenario_peer_work_phase2j/IOT_peer_framework.md,ARCHIVE,LOW,,phase2j,04_research/peer_work/scenario_peer_work_phase2j/IOT_peer_framework.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/scenario_peer_work_phase2j/IOT_scenario_workpaper.md,ARCHIVE,LOW,,phase2i;phase2j,04_research/peer_work/scenario_peer_work_phase2j/IOT_scenario_workpaper.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/scenario_peer_work_phase2j/RBRK_peer_framework.md,ARCHIVE,LOW,,phase2j,04_research/peer_work/scenario_peer_work_phase2j/RBRK_peer_framework.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/scenario_peer_work_phase2j/RBRK_scenario_workpaper.md,ARCHIVE,LOW,,phase2i;phase2j,04_research/peer_work/scenario_peer_work_phase2j/RBRK_scenario_workpaper.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/sector_frameworks/ai_infrastructure_framework.md,KEEP,LOW,,,04_research/sector_frameworks/ai_infrastructure_framework.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
03_research/sector_frameworks/biotech_framework.md,KEEP,LOW,,phase1;phase2;phase3,04_research/sector_frameworks/biotech_framework.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
03_research/sector_frameworks/clean_tech_framework.md,KEEP,LOW,,,04_research/sector_frameworks/clean_tech_framework.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
03_research/sector_frameworks/semiconductor_framework.md,KEEP,LOW,,,04_research/sector_frameworks/semiconductor_framework.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
03_research/triage_notes/ACMR_triage_note.md,MIGRATE,LOW,,phase2e,04_research/triage_notes/ACMR_triage_note.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/triage_notes/ALAB_triage_note.md,MIGRATE,LOW,,phase2e,04_research/triage_notes/ALAB_triage_note.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/triage_notes/ARRY_triage_note.md,MIGRATE,LOW,,phase2e,04_research/triage_notes/ARRY_triage_note.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/triage_notes/CRSP_triage_note.md,MIGRATE,LOW,,phase2e,04_research/triage_notes/CRSP_triage_note.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/triage_notes/CRWV_triage_note.md,MIGRATE,LOW,,phase2e,04_research/triage_notes/CRWV_triage_note.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/triage_notes/ENVX_triage_note.md,MIGRATE,LOW,,phase2e,04_research/triage_notes/ENVX_triage_note.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/triage_notes/FLNC_triage_note.md,MIGRATE,LOW,,phase2e,04_research/triage_notes/FLNC_triage_note.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/triage_notes/IOT_triage_note.md,MIGRATE,LOW,,phase2e,04_research/triage_notes/IOT_triage_note.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/triage_notes/NVTS_triage_note.md,MIGRATE,LOW,,phase2e,04_research/triage_notes/NVTS_triage_note.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/triage_notes/RBRK_triage_note.md,MIGRATE,LOW,,phase2e,04_research/triage_notes/RBRK_triage_note.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/triage_notes/RXRX_triage_note.md,MIGRATE,LOW,,phase2e,04_research/triage_notes/RXRX_triage_note.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/triage_notes/TEM_triage_note.md,MIGRATE,LOW,,phase2e,04_research/triage_notes/TEM_triage_note.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/triage_notes_phase2e1/ACMR_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/ACMR_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/triage_notes_phase2e1/ALAB_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/ALAB_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/triage_notes_phase2e1/ARRY_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/ARRY_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/triage_notes_phase2e1/CRSP_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/CRSP_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/triage_notes_phase2e1/CRWV_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/CRWV_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/triage_notes_phase2e1/ENVX_phase2e1_note.md,ARCHIVE,LOW,,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/ENVX_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/triage_notes_phase2e1/FLNC_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/FLNC_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/triage_notes_phase2e1/IOT_phase2e1_note.md,ARCHIVE,LOW,,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/IOT_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/triage_notes_phase2e1/NVTS_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/NVTS_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/triage_notes_phase2e1/RBRK_phase2e1_note.md,ARCHIVE,LOW,,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/RBRK_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/triage_notes_phase2e1/RXRX_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/RXRX_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/triage_notes_phase2e1/TEM_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/TEM_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/valuation_earnings_phase2l/IOT_next_earnings_checklist.md,ARCHIVE,MEDIUM,risk_rules,phase2h;phase2k;phase2l,04_research/valuation_work/valuation_earnings_phase2l/IOT_next_earnings_checklist.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/valuation_earnings_phase2l/IOT_valuation_risk_workpaper.md,ARCHIVE,LOW,,phase2j;phase2k;phase2l,04_research/valuation_work/valuation_earnings_phase2l/IOT_valuation_risk_workpaper.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/valuation_earnings_phase2l/RBRK_next_earnings_checklist.md,ARCHIVE,MEDIUM,risk_rules,phase2h;phase2k;phase2l,04_research/valuation_work/valuation_earnings_phase2l/RBRK_next_earnings_checklist.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
03_research/valuation_earnings_phase2l/RBRK_valuation_risk_workpaper.md,ARCHIVE,LOW,,phase2j;phase2k;phase2l,04_research/valuation_work/valuation_earnings_phase2l/RBRK_valuation_risk_workpaper.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/weekly_review_agent_phase4a/IOT_weekly_review_note.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;sec_alerts;weekly_reviews;risk_rules,phase4a,07_automation/weekly_review_agent/weekly_review_agent_phase4a/IOT_weekly_review_note.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/weekly_review_agent_phase4a/RBRK_weekly_review_note.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;sec_alerts;weekly_reviews;risk_rules,phase4a,07_automation/weekly_review_agent/weekly_review_agent_phase4a/RBRK_weekly_review_note.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
04_data/.DS_Store,DELETE_CANDIDATE,LOW,,,(none - local cache cleanup candidate),DELETE_LATER_LOCAL_CACHE_ONLY,Generated local cache or OS metadata; deletion is allowed only in a later cleanup phase.,no,no,no,yes,no,Do not delete in Phase 0B.
04_data/phase2b_candidate_screening_results.csv,ARCHIVE,LOW,,phase2b,11_archive/historical_phase_outputs/phase2b/04_data/phase2b_candidate_screening_results.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2e1_8k_dilution_review.csv,ARCHIVE,LOW,,phase2e1,11_archive/historical_phase_outputs/phase2e1/04_data/phase2e1_8k_dilution_review.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2e1_manual_market_data_README.md,ARCHIVE,LOW,,phase2c;phase2e;phase2e1,03_source_data/market_data_manual/phase2e1_manual_market_data_README.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2e1_manual_market_data_filled.csv,ARCHIVE,LOW,,phase2e1,03_source_data/market_data_manual/phase2e1_manual_market_data_filled.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2e1_manual_market_data_template.csv,ARCHIVE,LOW,,phase2e1,03_source_data/market_data_manual/phase2e1_manual_market_data_template.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2e1_manual_market_data_validated.csv,ARCHIVE,LOW,,phase2e1,03_source_data/market_data_manual/phase2e1_manual_market_data_validated.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2e1_rescored_candidates.csv,ARCHIVE,LOW,,phase2e1,11_archive/historical_phase_outputs/phase2e1/04_data/phase2e1_rescored_candidates.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2e_financial_enrichment.csv,ARCHIVE,LOW,,phase2e,11_archive/historical_phase_outputs/phase2e/04_data/phase2e_financial_enrichment.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2e_first_triage_scores.csv,ARCHIVE,LOW,,phase2e,11_archive/historical_phase_outputs/phase2e/04_data/phase2e_first_triage_scores.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2f_memo_scores.csv,ARCHIVE,LOW,,phase2e;phase2f,11_archive/historical_phase_outputs/phase2e/04_data/phase2f_memo_scores.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2g_review_labels.csv,ARCHIVE,LOW,,phase2f;phase2g,11_archive/historical_phase_outputs/phase2f/04_data/phase2g_review_labels.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2i_evidence_gap_matrix.csv,ARCHIVE,LOW,,phase2i;phase2j,11_archive/historical_phase_outputs/phase2i/04_data/phase2i_evidence_gap_matrix.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2i_synthesis_labels.csv,ARCHIVE,LOW,,phase2g;phase2h;phase2i;phase2j,11_archive/historical_phase_outputs/phase2g/04_data/phase2i_synthesis_labels.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2j_scenario_peer_labels.csv,ARCHIVE,LOW,,phase2i;phase2j,11_archive/historical_phase_outputs/phase2i/04_data/phase2j_scenario_peer_labels.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2k_peer_data.csv,ARCHIVE,LOW,,phase2k,11_archive/historical_phase_outputs/phase2k/04_data/phase2k_peer_data.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2k_peer_data_quality.csv,ARCHIVE,LOW,,phase2k;phase2l,11_archive/historical_phase_outputs/phase2k/04_data/phase2k_peer_data_quality.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2l_valuation_earnings_labels.csv,ARCHIVE,LOW,,phase2l;phase2m,11_archive/historical_phase_outputs/phase2l/04_data/phase2l_valuation_earnings_labels.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2m_research_decision_labels.csv,ARCHIVE,LOW,,phase2l;phase2m;phase2n,11_archive/historical_phase_outputs/phase2l/04_data/phase2m_research_decision_labels.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2n_paper_plan_draft_labels.csv,ARCHIVE,MEDIUM,risk_rules,phase2m;phase2n,11_archive/historical_phase_outputs/phase2m/04_data/phase2n_paper_plan_draft_labels.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
04_data/phase2n_paper_plan_risk_template.csv,ARCHIVE,MEDIUM,risk_rules,phase2n,11_archive/historical_phase_outputs/phase2n/04_data/phase2n_paper_plan_risk_template.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
04_data/phase2o_manual_chart_review_filled.csv,ARCHIVE,LOW,,phase2h;phase2o,05_risk_and_positions/paper_position_reviews/phase2o_manual_chart_review_filled.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2o_manual_chart_review_validated.csv,ARCHIVE,LOW,,phase2o,05_risk_and_positions/paper_position_reviews/phase2o_manual_chart_review_validated.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2o_paper_execution_readiness.csv,NEEDS_HUMAN_REVIEW,HIGH,trade_logs;risk_rules,phase2o;phase2p,05_risk_and_positions/paper_position_reviews/phase2o_paper_execution_readiness.csv,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,no,Human gate required by Phase0B touch-category rule.
04_data/phase2p_human_signoff_template.csv,ARCHIVE,MEDIUM,risk_rules,phase2p;phase2q,05_risk_and_positions/paper_position_reviews/phase2p_human_signoff_template.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
04_data/phase2p_paper_execution_log.csv,NEEDS_HUMAN_REVIEW,HIGH,trade_logs;risk_rules,phase2o1b;phase2p;phase2q,05_risk_and_positions/paper_position_reviews/phase2p_paper_execution_log.csv,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,no,Human gate required by Phase0B touch-category rule.
04_data/phase2p_risk_calculator_inputs.csv,ARCHIVE,MEDIUM,risk_rules,phase2p;phase2q,05_risk_and_positions/paper_position_reviews/phase2p_risk_calculator_inputs.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
04_data/phase2q_execution_decision.csv,ARCHIVE,LOW,,phase2q;phase2r,05_risk_and_positions/paper_position_reviews/phase2q_execution_decision.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2q_manual_execution_inputs_filled.xlsx,ARCHIVE,LOW,,phase2q,05_risk_and_positions/paper_position_reviews/phase2q_manual_execution_inputs_filled.xlsx,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2q_manual_execution_inputs_filled_normalized.csv,ARCHIVE,LOW,,phase2h;phase2o;phase2q,05_risk_and_positions/paper_position_reviews/phase2q_manual_execution_inputs_filled_normalized.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2q_manual_execution_inputs_validated.csv,ARCHIVE,LOW,,phase2q,05_risk_and_positions/paper_position_reviews/phase2q_manual_execution_inputs_validated.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2q_risk_calculator_results.csv,ARCHIVE,MEDIUM,risk_rules,phase2q;phase2r,05_risk_and_positions/paper_position_reviews/phase2q_risk_calculator_results.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,Human gate required by Phase0B touch-category rule.
04_data/phase2r_monitoring_checklist.csv,ARCHIVE,LOW,,phase2r,05_risk_and_positions/paper_position_reviews/phase2r_monitoring_checklist.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
04_data/phase2r_open_paper_positions.csv,ARCHIVE,LOW,,phase2r,05_risk_and_positions/paper_position_reviews/phase2r_open_paper_positions.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
